STANDARD,EXTENSION,INSTRUMENT,INST_EXT,DEFAULT,DESCRIPTION
INSTRUME,PRIMARY,INSTRUME,PRIMARY,CARMENES,Instrument name
DATALVL,PRIMARY,,,L2,Data Product Base Level
FILENAME,PRIMARY,FILENAME,PRIMARY,UNKNOWN,Name of the FITS file
DATE,PRIMARY,HIERARCH CARACAL UTC,PRIMARY,UNKNOWN,Last modification date/time of this file
DATE-OBS,PRIMARY,DATE-OBS,PRIMARY,UNKNOWN,Date/time at start of exposure
JD_UTC,PRIMARY,,,,Julian date of DATE-OBS
DRPTAG,PRIMARY,HIERARCH CARACAL VERSION,PRIMARY,UNKNOWN,Version of the extraction pipeline
EPRVTAG,PRIMARY,,,v0.4.0,Version of EPRV standard applied
VOCLASS,PRIMARY,,,EPRVSTANDARDv0.4.0,Version of EPRV standard applied
INSTERA,PRIMARY,,,UNKNOWN,Tag to track permanent changes to instrument
FULLCOMP,PRIMARY,,,No,Is this file fully compliant with the RVSTAND EPRV standard?

OBSERVER,PRIMARY,OBSERVER,PRIMARY,UNKNOWN,Observer
OBSTYPE,PRIMARY,HIERARCH CAHA INS ICS IMAGETYP,PRIMARY,UNKNOWN,Observation type
BINNING,PRIMARY,,,1x1,Binning mode
EXPTIME,PRIMARY,EXPTIME,PRIMARY,UNKNOWN,Exposure time [s]
OBJECT,PRIMARY,OBJECT,PRIMARY,UNKNOWN,Observed object
ISSOLAR,PRIMARY,,,F,Boolean to indicate if observation is of the sun

NUMTRACE,PRIMARY,,,1,Iterator for Number of Object related keywords
NUMORDER,PRIMARY,,,,Number of Orders
TRACE1,PRIMARY,HIERARCH CARACAL CATG,PRIMARY,UNKNOWN,Type of object in trace
CLSRC1,PRIMARY,,,HCLs,Name of calibration source in trace 1 to # [if used]

CSRC1,PRIMARY,,,Carmencita,catalog source for object in trace 1
CID1,PRIMARY,HIERARCH CAHA INS SCHEDULER KARMN,PRIMARY,UNKNOWN,catalog name/designation for object in trace 1
CRA1,PRIMARY,RA,PRIMARY,UNKNOWN,catalog right ascension
CDEC1,PRIMARY,DEC,PRIMARY,UNKNOWN,catalog declination
CEQNX1,PRIMARY,EQUINOX,PRIMARY,2000.0,catalog equinox
CEPCH1,PRIMARY,,,2000.0,catalog epoch
CRV1,PRIMARY,,,UNKNOWN,catalog systemic RV

OBSERVAT,PRIMARY,OBSERVAT,PRIMARY,CAHA,Observatory name
TELESCOP,PRIMARY,TELESCOP,PRIMARY,CA-3.5,Telescope name
NUMTEL,PRIMARY,,,1,Number of telescopes used in the observation
TELEID1,PRIMARY,TELESCOP,PRIMARY,CA-3.5,Labels for telescopes as indexed in TCS keywords
GEOSYS,PRIMARY,,,UNKNOWN,Coordinate system for observatory / telescope location
OBSLON,PRIMARY,HIERARCH CAHA TEL GEOLON,PRIMARY,-2.54625,Longitude used for barycentric correction
OBSLAT,PRIMARY,HIERARCH CAHA TEL GEOLAT,PRIMARY,37.2236,Latitude used for barycentric correction
OBSALT,PRIMARY,HIERARCH CAHA TEL GEOELEV,PRIMARY,2168.0,Altitude used for barycentric correction

SUMMFLAG,PRIMARY,,,UNKNOWN,Summary roll up of other flag keywords
DQLVL0,PRIMARY,,,0,Quality check bitfield of N characters
DQLVL1,PRIMARY,,,0,Quality check bitfield of N characters
DQLVL2,PRIMARY,HIERARCH CARACAL XTR QCFLAG,PRIMARY,0,Quality check bitfield of N characters
